section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3,
education_class,TRUE,"M.S., Program Evaluation and Data Analytics ",Arizona State University,"Phoenix, AZ",2023,2024, Coursework in the program evaluation part of the degree focuses on how to assess and enhance policy impacts or program performance. While the data science aspect of this degree teaches you how to analyze data and find actionable insights.,NA,NA,
education_class,TRUE,"B.S., Global Security and Intelligence Studies, Concentration in Security Management (minor Mandarin Chinese) ",University of Vermont,"Prescott, AZ",2018,2021,"Conduct threat, vulnerability and risk assessments","Learn project management skills, earning a specialized professional certification",Develop investigation and interviewing techniques and tactics,
education_class,TRUE,Chinese Language Certification ,National Kaohsiung Normal University,"Kaohsiung, Taiwan",2019,2019,"Study Abroad, 6 weeks.",NA,NA,
research_positions,TRUE,"Risk, Threat, Vulnerabilities",Shasta Industries ,"Phoenix, AZ",2020,2021,Project managed a three-person team at Shasta facility to perform Risk Analysis focused on Loss Prevention and Physical Security.,NA,NA,
industry_positions,TRUE,Global Trust & Safety Investigations,Turo Inc.,"Phoenix, AZ",2022,Current,"Analyze risk signals/data, and other high-risk activity to the company","Work closely with law enforcement in United States, Canada, Australia, and United Kingdom",Provide detailed investigations and execute the appropriate strategy for each case type,
industry_positions,TRUE,Carrier Relations- Risk Management Analyst,Knight-Swift Logistics,"Phoenix, AZ",2021,2021,Analyzes data and inspection history of carriers to ensure safety of cargo,Conducts safety reports on third-party carriers hauling for Knight-Swift,Implemented a training plan for new hires within the Carrier Relations-Risk Management department,
industry_positions,TRUE,Loss Prevention Internship,Amazon Inc,Virtual,2020,2020,"Analyzed current state, identified deficiencies and created a system with the intent to increase efficiency.",Authored proposal with goal the intent to increase nationwide inventory loss recovery,"Team Lead, Project Manager providing weekly project status reports and updates to management",
data_science_writings,TRUE,Certified Associate Protection Professional (APP),ASIS International,NA,2021,,"Focus on Security Fundamentals, Risk Management, Business Operations,  &Response Management",NA,NA,
data_science_writings,TRUE,Certified Associate in Project Management (CAPM) ,Project Management Institute ,NA,2018,,"Focus on Agile Frameworks/Methodologies, Business Analysis Frameworks, & Predictive Plan-Based Methodologies",NA,NA,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
